tag,intro,description,syntax
COUNTIF,"Use COUNTIF, one of the statistical functions, to count the number of cells that meet a criterion; for example, to count the number of times a particular city appears in a customer list.     In its simplest form, COUNTIF says:            =COUNTIF(Where do you want to look?, What do you want to look for?)          For example:            =COUNTIF(A2:A5,""London"")                    =COUNTIF(A2:A5,A4)            ","Learn about using SUMIF, COUNTIF, and related functions for quick data analysis                            Build your knowledge of SUMIF, COUNTIF, and related functions with LinkedIn Learning. Learn how to use the COUNTIF function for quick data analysis.                      Watch free preview >                                                                    ","                                        Syntax                                      COUNTIF(range, criteria)                                                  Argument name                                                                              Description                                                                            range??? (required)                                            The group of cells you want to count. Range can contain numbers, arrays, a named range, or references that contain numbers. Blank and text values are ignored.                Learn how to select ranges in a worksheet.                                                            criteria??? (required)                                            A number, expression, cell reference, or text string that determines which cells will be counted.                 For example, you can use a number like 32, a comparison like "">32"", a cell like B4, or a word like ""apples"".                COUNTIF uses only a single criteria. Use COUNTIFS if you want to use multiple criteria.                                "
CONCATENATE,"Use CONCATENATE, one of the text functions, to join two or more text strings into one string.                   Important:?In Excel 2016, Excel Mobile, and Excel Online, this function has been replaced with the CONCAT function. Although the CONCATENATE function is still available for backward compatibility, you should consider using CONCAT from now on. This is because CONCATENATE may not be available in future versions of Excel.      ","Syntax: CONCATENATE(text1, [text2], ...)    For example:            =CONCATENATE(""Stream population for "", A2, "" "", A3, "" is "", A4, ""/mile."")                    =CONCATENATE(B2, "" "",C2)          ","                          Argument name                                                          Description                                                        text1??? (required)                                The first item to join. The item can be a text value, number, or cell reference.                                            Text2, ...??? (optional)                                Additional text items to join. You can have up to 255 items, up to a total of 8,192 characters.                  "
SUMIF,"You use the SUMIF function to sum the values in a range that meet criteria that you specify. For example, suppose that in a column that contains numbers, you want to sum only the values that are larger than 5. You can use the following formula: =SUMIF(B2:B25,"">5"")        This video is part of a training course called Add numbers in Excel 2013.                   Tips:?                If you want, you can apply the criteria to one range and sum the corresponding values in a different range. For example, the formula =SUMIF(B2:B5, ""John"", C2:C5) sums only the values in the range C2:C5, where the corresponding cells in the range B2:B5 equal ""John.""                          To sum cells based on multiple criteria, see SUMIFS function.                ","Learn about using SUMIF, COUNTIF, and related functions for quick data analysis                            Build your knowledge of SUMIF, COUNTIF, and related functions with LinkedIn Learning. Learn how to use the SUMIF function for quick data analysis.                      Watch free preview >                                                                    ","Syntax    SUMIF(range, criteria, [sum_range])    The SUMIF function syntax has the following arguments:                      range???Required. The range of cells that you want evaluated by criteria. Cells in each range must be numbers or names, arrays, or references that contain numbers. Blank and text values are ignored. The selected range may contain dates in standard Excel format (examples below).                              criteria???Required. The criteria in the form of a number, expression, a cell reference, text, or a function that defines which cells will be added. For example, criteria can be expressed as 32, "">32"", B5, ""32"", ""apples"", or TODAY().                              Important:?Any text criteria or any criteria that includes logical or mathematical symbols must be enclosed in double quotation marks (""). If the criteria is numeric, double quotation marks are not required.                                      sum_range???Optional. The actual cells to add, if you want to add cells other than those specified in the range argument. If the sum_range argument is omitted, Excel adds the cells that are specified in the range argument (the same cells to which the criteria is applied).                  You can use the wildcard characters?the question mark (?) and asterisk (*)?as the criteria argument. A question mark matches any single character; an asterisk matches any sequence of characters. If you want to find an actual question mark or asterisk, type a tilde (~) preceding the character.          "
AutoFilter,"	    By filtering information in a worksheet, you can find values quickly. You can filter on one or more columns of data. With filtering, you can control not only what you want to see, but what you want to exclude. You can filter based on choices you make from a list, or you can create specific filters to focus on exactly the data that you want to see.    You can search for text and numbers when you filter by using the Search box in the filter interface.    When you filter data, entire rows are hidden if values in one or more columns don't meet the filtering criteria. You can filter on numeric or text values, or filter by color for cells that have color formatting applied to their background or text.  ","How?                                                              Select the data that you want to filter????                                        On the Data tab, in the Sort & Filter group, click Filter.                                                              Click the arrow    in the column header to display a list in which you can make filter choices.                                  Note????Depending on the type of data in the column, Microsoft Excel displays either Number Filters or Text Filters in the list.                                                                                              Filter by selecting values or searching????            Selecting values from a list and searching are the quickest ways to filter. When you click the arrow in a column that has filtering enabled, all values in that column appear in a list.                        1. Use the Search box to enter text or numbers on which to search            2. Select and clear the check boxes to show values that are found in the column of data            3. Use advanced criteria to find values that meet specific conditions                            To select by values, in the list, clear the (Select All) check box. This removes the check marks from all the check boxes. Then, select only the values you want to see, and click OK to see the results.                                              To search on text in the column, enter text or numbers in the Search box. Optionally, you can use wildcard characters, such as the asterisk (*) or the question mark (?). Press ENTER to see the results.                                                                                              Filter data by specifying conditions????            By specifying conditions, you can create custom filters that narrow down the data in the exact way that you want. You do this by building a filter. If you've ever queried data in a database, this will look familiar to you.                            Point to either Number Filters or Text Filters in the list. A menu appears that allows you to filter on various conditions.                                              Choose a condition and then select or enter criteria. Click the And button to combine criteria (that is, two or more criteria that must both be met), and the Or button to require only one of multiple conditions to be met.                                              Click OK to apply the filter and get the results you expect.                                    ","Next steps            Watch a video to see filtering in action: Video: Filter data by using an AutoFilter                    Experiment with filters on text and numeric data by trying the many built-in test conditions, such as Equals, Does Not Equal, Contains, Greater Than, and Less Than. For more information, see Filter data in a range or table.                  Note????Some of these conditions apply only to text, and others apply only to numbers.                    Create a custom filter that uses multiple criteria. For more information, see Filter by using advanced criteria.                    Learn how to Filter for unique values or remove duplicate values.                Top of Page      "
SUM,"The SUM function, one of the math and trig functions, adds values.  You can add individual values, cell references or ranges or a mix of all three.    For example:                      =SUM(A2:A10)                                      =SUM(A2:A10, C2:C10)                      This video is part of a training course called Add numbers in Excel 2013.  ",Learn about adding formulas and functions                            Build your knowledge of formulas and functions with LinkedIn Learning. Learn how to use the SUM function to add all the numbers in a range of cells.                      Watch free preview >                                                                    ,"                                        Syntax:                                      SUM(number1,[number2],...)                                                  Argument name                                                                              Description                                                                            number1??? (Required)                                            The first number you want to add. The number can be like 4, a cell reference like B6, or a cell range like B2:B8.                                                             number2-255??? (Optional)                                            This is the second number you want to add. You can specify up to 255 numbers in this way.                                 "
AVERAGE,"	    Let's say you want to find the average number of days to complete a milestone in a project or the average temperature on a particular day over a 10-year time span. There are several ways to calculate the average of a group of numbers.    The AVERAGE function measures central tendency, which is the location of the center of a group of numbers in a statistical distribution. The three most common measures of central tendency are:                      Average???? which is the arithmetic mean, and is calculated by adding a group of numbers and then dividing by the count of those numbers. For example, the average of 2, 3, 3, 5, 7, and 10 is 30 divided by 6, which is 5.                               Median???? which is the middle number of a group of numbers; that is, half the numbers have values that are greater than the median, and half the numbers have values that are less than the median. For example, the median of 2, 3, 3, 5, 7, and 10 is 4.                              Mode???? which is the most frequently occurring number in a group of numbers. For example, the mode of 2, 3, 3, 5, 7, and 10 is 3.          For a symmetrical distribution of a group of numbers, these three measures of central tendency are all the same. For a skewed distribution of a group of numbers, they can be different.  ","Calculate the average of numbers in a contiguous row or column            Click a cell below or to the right of the numbers for which you want to find the average.                      On the Home tab, in the Editing group, click the arrow next to  AutoSum , click Average, and then press ENTER.            ","Calculate the average of numbers not in a contiguous row or column    To do this task, use the AVERAGE function.    Example      The example may be easier to understand if you copy it to a blank worksheet.              How to copy an example                      Create a blank workbook or worksheet.                            Select the example in the Help topic.                                     Note:?Do not select the row or column headers.                              Selecting an example from Help                            Press CTRL+C.                            In the worksheet, select cell A1, and press CTRL+V.                            To switch between viewing the results and viewing the formulas that return the results, press CTRL+` (grave accent), or on the Formulas tab, in the Formula Auditing group, click the Show Formulas button.                                                                                              1                                                                                                          2                                                                                                          3                                                                                                          4                                                                                                          5                                                                                                          6                                                                                                          7                                                                                                                                    A                                                                                                          Data                                                                                  10                                                            7                                                            9                                                            27                                                            0                                                            4                                                                                    Formula                                                                                                            Description (Result)                                                                                  =AVERAGE(A2:A7)                                                              Averages all of numbers in list above (9.5)                                                            =AVERAGE(A2:A4,A7)                                                              Averages the top three and the last number in the list (7.5)                                                            =AVERAGEIF(A2:A7, ""<>0"")                                                              Averages the numbers in the list except those that contain zero, such as cell A6 (11.4)                                                "
COUNT,"Use COUNTIF, one of the statistical functions, to count the number of cells that meet a criterion; for example, to count the number of times a particular city appears in a customer list.     In its simplest form, COUNTIF says:            =COUNTIF(Where do you want to look?, What do you want to look for?)          For example:            =COUNTIF(A2:A5,""London"")                    =COUNTIF(A2:A5,A4)            ","Learn about using SUMIF, COUNTIF, and related functions for quick data analysis                            Build your knowledge of SUMIF, COUNTIF, and related functions with LinkedIn Learning. Learn how to use the COUNTIF function for quick data analysis.                      Watch free preview >                                                                    ","                                        Syntax                                      COUNTIF(range, criteria)                                                  Argument name                                                                              Description                                                                            range??? (required)                                            The group of cells you want to count. Range can contain numbers, arrays, a named range, or references that contain numbers. Blank and text values are ignored.                Learn how to select ranges in a worksheet.                                                            criteria??? (required)                                            A number, expression, cell reference, or text string that determines which cells will be counted.                 For example, you can use a number like 32, a comparison like "">32"", a cell like B4, or a word like ""apples"".                COUNTIF uses only a single criteria. Use COUNTIFS if you want to use multiple criteria.                                "
ROUND,,"Description The ROUND function rounds a number to a specified number of digits. For example, if cell A1 contains 23.7825, and you want to round that value to two decimal places, you can use the following formula: =ROUND(A1, 2) The result of this function is 23.78.","Syntax          ROUND(number, num_digits) The ROUND function syntax has the following arguments: number    Required. The number that you want to round. num_digits    Required. The number of digits to which you want to round the number argument."
ROUNDUP,This article describes the formula syntax and usage of the ROUNDUP?function in Microsoft Excel.  ,"Description    Rounds a number up, away from 0 (zero).  ","Syntax    ROUNDUP(number, num_digits)    The ROUNDUP function syntax has the following arguments:                      Number????Required. Any real number that you want rounded up.                              Num_digits????Required. The number of digits to which you want to round number.          "
ROUNDDOWN,This article describes the formula syntax and usage of the ROUNDDOWN?function in Microsoft Excel.  ,"Description    Rounds a number down, toward zero.  ","Syntax    ROUNDDOWN(number, num_digits)    The ROUNDDOWN function syntax has the following arguments:                      Number????Required. Any real number that you want rounded down.                              Num_digits????Required. The number of digits to which you want to round number.          "
